country,population
Canada,35702707
East Timor,1212107
Russia,146267288
Turkmenistan,4751120
Cyprus,858000
Falkland Islands,3000
Lithuania,2919306
Cambodia,15405157
Northern Cyprus,294906
Ethiopia,90076012
The Gambia,1882450
Swaziland,1119375
Gibraltar,30001
Palestine,4550368
Argentina,43131966
Bolivia,11410651
Cameroon,21143237
Burkina Faso,18450494
Puerto Rico,3548397
Ghana,27043093
Saudi Arabia,31521418
Mayotte,212645
French Guiana,239648
Wallis and Futuna,13135
American Samoa,55519
Cape Verde,518467
Slovenia,2066121
Guatemala,15806675
Bosnia and Herzegovina,3791622
Kuwait,3268431
Jordan,6707600
Spain,46464053
Serbia,7146759
Liberia,4503000
Netherlands,16895900
Isle of Man,84497
Jamaica,2717991
Oman,4146558
Tanzania,47421786
Western Sahara,510713
Saint Barthelemy,9131
The Bahamas,368390
Seychelles,89949
Gabon,1751000
Jersey,99000
Monaco,36950
New Zealand,4571650
Yemen,25956000
China,1369000000
Pakistan,189370000
Albania,2893005
Samoa,187820
Aland Islands,28875
United Arab Emirates,9577000
Northern Mariana Islands,53883
India,1268990000
Azerbaijan,9593000
Lesotho,2120000
Saint Vincent and the Grenadines,109000
Ukraine,42928900
Taiwan,23445534
Kenya,46749000
South Korea,51342881
Belarus,9481000
Tajikistan,8354000
Curacao,154843
Turkey,77695904
Afghanistan,26556800
Bangladesh,158076000
Pitcairn Islands,56
Mauritania,3631775
Solomon Islands,581344
Saint Lucia,185000
San Marino,32789
Svalbard and Jan Mayen,2562
Mongolia,3000000
South Ossetia,51547
Saint Pierre and Miquelon,6069
Rwanda,10996891
Slovakia,5421034
Peru,31151643
Laos,6802000
Moldova,3557600
Nauru,10084
Caribbean Netherlands,23296
Norway,5165802
Malawi,16310431
Benin,10315244
Federated States of Micronesia,101351
Morocco,33337529
Cuba,11210064
Tokelau,1411
Montenegro,620029
Republic of the Congo,4671000
Bermuda,64237
Togo,7171000
Armenia,3013900
Dominican Republic,10378267
Aruba,107394
Turks and Caicos Islands,31458
Bahrain,1316500
Tonga,103252
Finland,5475526
Cook Islands,14974
Libya,6317000
Indonesia,255461700
Central African Republic,4803000
United States,320690000
Sweden,9753627
Vietnam,90730000
Cayman Islands,55691
Mali,16259000
Vatican City,839
Bulgaria,7245677
Mauritius,1261208
Romania,19942642
Angola,24383301
Portugal,10477800
South Africa,54002000
Christmas Island,2072
Fiji,859178
Liechtenstein,37132
Qatar,2334029
Malaysia,30536100
Senegal,13508715
Mozambique,25727911
Uganda,34856813
Norfolk Island,2302
Japan,126910000
Niger,19268000
Sao Tome and Principe,187356
Brazil,204090000
Somalia,11123000
Guinea,10628972
Panama,3764166
Guyana,746900
Costa Rica,4773130
Luxembourg,549700
Andorra,76949
Transnistria,505153
Ivory Coast,22671331
Palau,20901
Nigeria,183523000
Ecuador,15961900
Czech Republic,10528477
Brunei,393372
Australia,23793100
Iran,78224100
Algeria,39500000
El Salvador,6401240
Tuvalu,11323
Marshall Islands,56086
Chile,18006407
Belgium,11239755
Thailand,64871000
Haiti,10911819
Iraq,36004552
British Virgin Islands,28054
Sierra Leone,6319000
Cocos Islands,550
Hong Kong,7264100
Denmark,5659715
Philippines,101217100
United States Virgin Islands,106405
Namibia,2113077
Ireland,4609600
Guinea Bissau,1788000
Kiribati,106461
Switzerland,8211700
Grenada,103328
Belize,358899
Chad,13606000
Estonia,1312252
Uruguay,3404189
Faroe Islands,48679
Guam,159358
Equatorial Guinea,1430000
Lebanon,4104000
Uzbekistan,30492800
Tunisia,10982754
Djibouti,900000
Antigua and Barbuda,86295
Dominica,71293
Colombia,48060300
Burundi,9823827
Guadeloupe,405739
Nicaragua,6134270
Montserrat,4922
Barbados,285000
Madagascar,21842167
Italy,60788845
Suriname,534189
Bhutan,758810
Sudan,38435252
Saint Helena Ascension and Tristan da Cunha,4000
Nepal,28037904
Malta,425384
Democratic Republic of the Congo,71246000
Maldives,341256
Reunion,844994
Guernsey,63085
Venezuela,30620404
Kosovo,1827231
Israel,8309400
Sint Maarten,37429
Iceland,329040
Zambia,15473905
Austria,8579747
Papua New Guinea,7398500
French Polynesia,268270
Macau,636200
Saint Kitts and Nevis,55000
Trinidad and Tobago,1328019
Zimbabwe,13061239
Germany,80925000
Vanuatu,264652
Anguilla,13452
Niue,1613
Collectivity of Saint Martin,35742
Kazakhstan,17439300
Poland,38484000
Eritrea,6738000
Kyrgyzstan,5895100
Abkhazia,240705
Georgia,4490500
Macedonia,2065769
North Korea,25155000
Paraguay,7003406
Latvia,1986700
South Sudan,11892934
Hungary,9849000
Syria,23123819
Burma,51419420
Honduras,8725111
Mexico,121005815
Egypt,88258200
Singapore,5469700
Comoros,763952
United Kingdom,64105654
France,66109000
Martinique,381326
Greece,10992589
Sri Lanka,20675000
Croatia,4267558
Greenland,55984
New Caledonia,268767
Botswana,2024904
